Region/country/area, Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,Biogas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Geothermal,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Russian Federation,Hydropower,44649.000,45006.000,45144.000,45554.000,45862.000,46213.000,46562.000,47307.000,47621.000,47867.000,47989.000,48038.000,49749.000,50556.000,51332.000,51475.000,51466.000,51701.766,51794.500,52294.763,52614.025,52754.125,52754.125
,Renewable hydropower,43449.000,43806.000,43928.000,44338.000,44719.000,45033.000,45346.000,46091.000,46405.000,46651.000,46773.000,46822.000,48533.000,49340.000,50116.000,50259.000,50250.000,50485.766,50578.500,51078.763,51398.125,51398.125,51398.125
,Pumped storage,1200.000,1200.000,1216.000,1216.000,1143.000,1180.000,1216.000,1216.000,1216.000,1216.000,1216.000,1216.000,1216.000,1216.000,1216.000,1216.000,1216.000,1216.000,1216.000,1216.000,1215.900,1356.000,1356.000
,Marine,0.400,0.400,0.400,0.400,0.400,0.400,0.400,1.700,1.700,1.700,1.700,1.700,1.700,1.700,1.700,1.700,1.700,1.700,1.700,1.700,1.700,1.700,1.700
,Wind,3.000,3.000,7.000,9.000,9.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.900,10.900,10.900,51.900,101.900,945.300,1955.000,2218.000
,Onshore wind energy,3.000,3.000,7.000,9.000,9.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.000,10.900,10.900,10.900,51.900,101.900,945.300,1955.000,2218.000
,Offshore wind energy,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Solar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.023,0.093,1.259,5.000,61.320,76.320,225.320,535.320,1276.320,1427.820,1661.020,1815.900
,Solar photovoltaic,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.023,0.093,1.259,5.000,61.320,76.320,225.320,535.320,1276.320,1427.820,1661.020,1815.900
,Concentrated solar power,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Bioenergy,1241.430,1282.730,1254.730,1262.830,1277.500,1266.830,1266.830,1262.830,1252.550,1234.150,1197.150,1197.150,1197.150,1197.150,1370.000,1370.000,1370.000,1372.500,1372.500,1372.500,1372.500,1372.500,1372.500
,Solid biofuels and renewable municipal waste,1241.430,1282.730,1254.730,1262.830,1277.500,1266.830,1266.830,1262.830,1252.550,1234.150,1197.150,1197.150,1197.150,1197.150,1370.000,1370.000,1370.000,1372.500,1372.500,1372.500,1372.500,1372.500,1372.500
,Renewable municipal waste,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Bagasse,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Other solid biofuels,1241.000,1283.000,1255.000,1263.000,1278.000,1267.000,1267.000,1263.000,1253.000,1234.000,1197.000,1197.000,1197.000,1197.000,1370.000,1370.000,1370.000,1373.000,1373.000,1373.000,1373.000,1373.000,1373.000
,Liquid biofuels,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Biogas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Geothermal,23.000,21.000,70.000,70.000,56.000,79.000,87.000,90.000,80.000,81.000,81.000,81.000,81.000,79.000,78.000,78.000,78.000,74.000,74.000,81.400,74.000,74.000,74.000
Türkiye,Hydropower,11175.000,11673.000,12241.000,12579.000,12645.000,12906.000,13063.000,13395.000,13829.000,14553.000,15831.000,17137.000,19609.000,22289.000,23643.000,25868.000,26681.000,27273.100,28291.392,28503.008,30983.901,31492.578,31571.478
,Renewable hydropower,11175.000,11673.000,12241.000,12579.000,12645.000,12906.000,13063.000,13395.000,13829.000,14553.000,15831.000,17137.000,19609.000,22289.000,23643.000,25868.000,26681.000,27273.100,28291.392,28503.008,30983.901,31492.578,31571.478
,Pumped storage,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Marine,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Wind,19.000,19.000,19.000,19.000,19.000,21.000,59.000,146.000,364.000,792.000,1320.000,1729.000,2261.000,2760.000,3630.000,4503.000,5751.000,6516.150,7005.386,7591.156,8832.395,10606.975,11396.175
,Onshore wind energy,19.000,19.000,19.000,19.000,19.000,21.000,59.000,146.000,364.000,792.000,1320.000,1729.000,2261.000,2760.000,3630.000,4503.000,5751.000,6516.150,7005.386,7591.156,8832.395,10606.975,11396.175
,Offshore wind energy,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Solar,0.100,0.300,0.600,1.000,1.500,2.000,2.500,3.000,3.700,4.700,5.700,6.700,11.700,18.700,41.000,250.000,834.000,3421.700,5063.608,5996.155,6668.418,7816.630,9426.430
,Solar photovoltaic,0.100,0.300,0.600,1.000,1.500,2.000,2.500,3.000,3.700,4.700,5.700,6.700,11.700,17.700,40.000,249.000,833.000,3420.700,5062.608,5995.155,6667.418,7815.630,9425.430
,Concentrated solar power,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
,Bioenergy,76.000,76.000,81.000,81.000,81.000,81.000,86.000,88.000,102.000,102.000,118.000,99.000,142.000,172.000,221.000,271.000,359.000,471.800,587.489,783.535,1097.482,1582.971,1858.071
,Solid biofuels and renewable municipal waste,72.000,72.000,72.000,72.000,72.000,72.000,72.000,72.000,69.000,47.000,47.000,10.000,10.000,10.000,10.000,12.000,55.000,83.000,130.200,216.470,333.933,545.193,695.733
,Renewable municipal waste,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Bagasse,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.250,2.250,2.300,54.235,52.535
,Other solid biofuels,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Liquid biofuels,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.000,7.000,7.000,12.300,18.802,19.282,22.780,50.933,50.933
,Biogas,4.000,4.000,9.000,9.000,9.000,9.000,14.000,16.000,33.000,55.000,71.000,89.000,132.000,162.000,204.000,252.000,297.000,376.500,438.487,547.783,740.769,986.845,1111.405
,Geothermal,18.000,18.000,18.000,15.000,15.000,15.000,23.000,23.000,30.000,77.000,94.000,114.000,162.000,311.000,405.000,624.000,821.000,1063.700,1282.518,1514.688,1613.188,1676.170,1691.270
Europe,Hydropower,193215.817,193326.825,193952.640,194370.640,196421.016,199168.401,199546.560,201452.153,202786.050,204585.030,206319.271,208097.428,209201.717,211126.428,211875.205,214429.092,217887.811,219571.558,220613.527,221543.004,223075.018,224512.414,225250.614
,Renewable hydropower,168630.867,168605.875,169159.690,169914.690,171382.066,173400.451,173846.610,175527.203,176869.100,177820.580,179321.821,181109.318,182374.607,183396.368,183676.145,186049.032,189295.711,191107.578,192253.047,193182.524,194709.578,195822.974,196561.174
,Pumped storage,24584.950,24720.950,24792.950,24455.950,25038.950,25767.950,25699.950,25924.950,25916.950,26764.450,26997.450,26988.110,26827.110,27730.060,28199.060,28380.060,28592.100,28463.980,28360.480,28360.480,28365.440,28689.440,28689.440
,Marine,214.000,216.000,219.000,220.000,219.000,217.000,216.000,216.000,219.000,218.215,221.845,220.926,227.519,227.675,231.021,230.312,240.407,244.703,245.835,242.813,240.866,240.543,240.543
,Wind,12753.915,17393.933,23289.111,28152.946,34320.367,40684.290,47918.900,56340.808,64055.294,75804.537,84920.019,94713.940,107192.451,118169.625,130198.201,143014.691,155727.185,170616.265,181787.748,196109.672,207883.448,222044.512,240284.732
,Onshore wind energy,12686.965,17317.983,23049.161,27643.596,33725.817,39999.740,47036.350,55259.258,62625.544,73683.687,81989.869,91173.330,102179.801,111486.075,122222.651,132019.141,143094.435,154814.065,163059.848,174142.872,182955.849,195646.113,210189.832
,Offshore wind energy,66.950,75.950,239.950,509.350,594.550,684.550,882.550,1081.550,1429.750,2120.850,2930.150,3540.610,5012.650,6683.550,7975.550,10995.550,12632.750,15802.200,18727.900,21966.800,24927.599,26398.399,30094.900
,Solar,200.100,300.360,384.994,623.771,1335.364,2315.507,3277.644,5050.675,10518.808,17119.295,30857.281,54719.861,73630.854,84187.601,91092.659,99601.123,106170.284,112295.631,121594.757,142377.985,162899.204,190510.116,225278.594
,Solar photovoltaic,200.100,300.360,384.994,623.771,1335.364,2315.507,3266.644,5039.675,10457.808,16835.295,30118.561,53564.141,71624.134,81876.468,88780.526,97288.990,103858.151,109983.428,119282.533,140056.811,160578.030,188189.033,222957.511
,Concentrated solar power,0.000,0.000,0.000,0.000,0.000,0.000,11.000,11.000,61.000,284.000,738.720,1155.720,2006.720,2311.133,2312.133,2312.133,2312.133,2312.203,2312.224,2321.174,2321.174,2321.083,2321.083
,Bioenergy,8151.529,9067.230,9619.473,11357.081,12922.331,16187.330,18210.371,18508.418,20007.483,23167.638,25283.696,28768.735,30298.341,31622.214,33298.492,34728.427,35729.232,37169.326,39982.024,41302.545,41911.374,41631.046,41852.936
,Solid biofuels and renewable municipal waste,6834.461,7425.841,7815.434,9282.187,10054.742,12313.145,13789.533,13462.865,14397.347,15712.808,16734.339,18548.377,18749.499,19533.638,20656.522,21564.835,22160.821,23158.197,25272.858,25838.305,25837.695,25981.970,26107.130
,Renewable municipal waste,1425.000,1579.800,1683.300,2119.300,2311.800,2516.155,2836.253,2738.113,2918.784,3219.991,3372.013,3611.018,3708.494,4197.261,4147.097,4513.806,4778.424,4889.044,5014.576,5099.094,5134.077,5004.824,5126.324
,Bagasse,0.000,0.000,0.000,0.000,0.000,0.000,2.200,1.900,0.800,0.100,0.300,0.000,0.000,0.000,0.000,2.300,2.300,2.300,2.300,2.300,2.300,2.300,2.300
,Other solid biofuels,5407.000,5842.000,6128.000,7157.000,7737.000,9791.000,10945.000,10715.000,11468.000,12483.000,13349.000,14894.000,14887.000,15202.000,16362.000,16893.000,17200.000,18058.000,20043.000,20528.000,20476.000,20776.000,20780.000
,Liquid biofuels,0.000,5.000,8.000,28.000,566.000,733.440,859.377,958.205,1130.470,1513.638,1685.285,1716.450,1854.913,1878.718,1797.425,1865.030,1792.274,1812.673,1791.012,2127.936,2104.369,2080.787,2078.787
,Biogas,1317.068,1636.389,1796.039,2046.894,2301.589,3140.745,3561.461,4087.348,4479.666,5941.192,6864.072,8503.908,9693.929,10209.858,10844.545,11298.562,11776.137,12198.456,12918.154,13336.304,13969.310,13568.289,13667.019
,Geothermal,776.000,789.000,884.000,925.000,860.200,918.115,1119.115,1184.915,1274.915,1301.915,1335.915,1439.815,1448.415,1460.915,1502.965,1502.715,1507.124,1558.363,1616.963,1621.963,1627.163,1633.213,1633.213
Albania,Hydropower,1453.000,1453.000,1453.000,1453.000,1453.000,1453.000,1453.000,1455.000,1457.000,1459.000,1475.000,1508.000,1628.000,1781.000,1725.000,1798.000,1913.000,2047.000,2105.000,2162.000,2387.000,2507.000,2507.000
,Renewable hydropower,1453.000,1453.000,1453.000,1453.000,1453.000,1453.000,1453.000,1455.000,1457.000,1459.000,1475.000,1508.000,1628.000,1781.000,1725.000,1798.000,1913.000,2047.000,2105.000,2162.000,2387.000,2507.000,2507.000
,Pumped storage,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Marine,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Wind,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Onshore wind energy,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Offshore wind energy,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Solar,0.000,0.100,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.300,0.400,0.564,0.679,0.758,0.874,1.050,1.000,1.000,1.000,14.000,21.000,23.000,28.600
,Solar photovoltaic,0.000,0.100,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.300,0.400,0.564,0.679,0.758,0.874,1.050,1.000,1.000,1.000,14.000,21.000,23.000,28.600
,Concentrated solar power,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Bioenergy,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.425,1.425,1.425,1.425,1.425,1.425
,Solid biofuels and renewable municipal waste,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.425,1.425,1.425,1.425,1.425,1.425
,Renewable municipal waste,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.425,1.425,1.425,1.425,1.425,1.425
,Bagasse,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Other solid biofuels,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Liquid biofuels,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Biogas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Geothermal,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Andorra,Hydropower,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,46.000,46.000,46.000,46.000,46.000,46.000,46.000,46.000,46.000,46.000,46.000,46.000,46.000,46.000,46.000
,Renewable hydropower,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,46.000,46.000,46.000,46.000,46.000,46.000,46.000,46.000,46.000,46.000,46.000,46.000,46.000,46.000,46.000
,Pumped storage,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Marine,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Wind,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Onshore wind energy,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Offshore wind energy,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Solar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.186,0.226,0.244,0.489,1.090,1.989,3.084,4.352,4.352
,Solar photovoltaic,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.186,0.226,0.244,0.489,1.090,1.989,3.084,4.352,4.352
,Concentrated solar power,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Bioenergy,0.000,0.000,0.000,0.000,0.000,0.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000
,Solid biofuels and renewable municipal waste,0.000,0.000,0.000,0.000,0.000,0.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000
,Renewable municipal waste,0.000,0.000,0.000,0.000,0.000,0.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000
,Bagasse,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Other solid biofuels,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Liquid biofuels,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Biogas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Geothermal,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Austria,Hydropower,11613.000,11640.000,11504.000,11545.000,11578.000,11799.042,11825.096,11988.189,12440.950,12630.430,12894.848,13177.390,13308.889,13383.396,13532.252,13649.655,14116.314,14149.948,14516.246,14597.108,14634.505,14747.928,14968.928
,Renewable hydropower,11613.000,11640.000,11504.000,11545.000,11578.000,11799.042,11825.096,11988.189,12440.950,12630.430,12894.848,13177.390,13308.889,13383.396,13532.252,13649.655,14116.314,14149.948,14516.246,14597.108,14634.505,14747.928,14968.928
,Pumped storage,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Marine,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Wind,50.000,67.000,109.000,322.000,581.000,825.219,968.269,991.159,991.974,1000.985,1015.828,1105.966,1337.150,1674.538,2110.275,2488.726,2729.996,2886.698,3132.713,3224.117,3225.979,3407.811,3735.811
,Onshore wind energy,50.000,67.000,109.000,322.000,581.000,825.219,968.269,991.159,991.974,1000.985,1015.828,1105.966,1337.150,1674.538,2110.275,2488.726,2729.996,2886.698,3132.713,3224.117,3225.979,3407.811,3735.811
,Offshore wind energy,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Solar,5.000,7.000,9.000,23.000,27.000,21.018,22.387,24.238,30.120,48.915,88.813,174.070,337.483,625.974,785.246,937.098,1096.016,1268.971,1455.132,1702.093,2042.934,2782.602,3547.602
,Solar photovoltaic,5.000,7.000,9.000,23.000,27.000,21.018,22.387,24.238,30.120,48.915,88.813,174.070,337.483,625.974,785.246,937.098,1096.016,1268.971,1455.132,1702.093,2042.934,2782.602,3547.602
,Concentrated solar power,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Bioenergy,810.000,799.000,792.000,987.000,994.000,1596.387,1826.784,2080.920,2105.943,2178.872,2176.309,2249.455,1671.556,1507.324,1410.602,1396.339,1392.788,1289.774,1270.593,1249.309,1251.259,1171.094,1171.094
,Solid biofuels and renewable municipal waste,786.000,772.000,772.000,948.000,948.000,1328.165,1550.238,1764.163,1765.474,1797.517,1831.529,1869.915,1393.106,1306.928,1220.704,1201.541,1187.515,1108.491,1093.873,1085.048,1086.219,1004.822,1004.822
,Renewable municipal waste,6.000,6.000,6.000,182.000,182.000,209.855,215.453,215.313,222.984,243.691,242.895,241.945,287.645,289.576,261.820,262.920,270.820,270.720,269.620,271.620,270.020,240.120,240.120
,Bagasse,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Other solid biofuels,780.000,766.000,766.000,766.000,766.000,1118.000,1335.000,1549.000,1542.000,1554.000,1589.000,1628.000,1105.000,1017.000,959.000,939.000,917.000,838.000,824.000,813.000,816.000,765.000,765.000
,Liquid biofuels,0.000,0.000,2.000,10.000,17.000,50.440,54.377,27.405,55.810,45.873,14.510,7.342,5.513,6.359,1.025,3.385,2.969,1.204,1.324,0.521,0.461,0.065,0.065
,Biogas,24.000,27.000,18.000,29.000,29.000,217.782,222.169,289.352,284.659,335.482,330.270,372.198,272.937,194.037,188.873,191.413,202.304,180.079,175.396,163.740,164.579,166.207,166.207
,Geothermal,0.000,0.000,2.000,2.000,2.000,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.915,0.924,0.915,0.915,0.915,0.915,0.915,0.915
Belarus,Hydropower,10.194,10.428,11.243,11.243,11.493,11.803,11.853,12.353,12.889,13.329,13.849,14.329,31.604,32.104,32.804,33.504,73.564,95.364,95.364,95.364,96.000,96.000,96.200
,Renewable hydropower,10.194,10.428,11.243,11.243,11.493,11.803,11.853,12.353,12.889,13.329,13.849,14.329,31.604,32.104,32.804,33.504,73.564,95.364,95.364,95.364,96.000,96.000,96.200
,Pumped storage,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Marine,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Wind,0.250,0.600,1.100,1.100,1.100,1.100,1.100,1.900,1.900,1.900,1.900,2.000,5.000,7.000,9.000,22.000,62.000,84.000,92.000,112.000,112.000,111.700,120.000
,Onshore wind energy,0.250,0.600,1.100,1.100,1.100,1.100,1.100,1.900,1.900,1.900,1.900,2.000,5.000,7.000,9.000,22.000,62.000,84.000,92.000,112.000,112.000,111.700,120.000
,Offshore wind energy,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Solar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,6.000,47.000,80.000,154.000,154.000,160.300,163.400,272.500
,Solar photovoltaic,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,6.000,47.000,80.000,154.000,154.000,160.300,163.400,272.500
,Concentrated solar power,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Bioenergy,0.000,0.000,0.000,0.000,0.000,0.000,3.500,5.900,14.000,14.000,14.000,18.800,18.800,35.200,35.200,35.200,39.600,40.700,48.400,53.300,122.500,120.400,139.200
,Solid biofuels and renewable municipal waste,0.000,0.000,0.000,0.000,0.000,0.000,3.500,5.900,12.800,12.800,12.800,12.800,12.800,12.800,12.800,12.800,12.800,12.800,15.500,15.500,85.500,83.100,100.500
,Renewable municipal waste,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Bagasse,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Other solid biofuels,0.000,0.000,0.000,0.000,0.000,0.000,4.000,6.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,16.000,16.000,86.000,83.000,101.000
,Liquid biofuels,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
,Biogas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.200,1.200,1.200,6.000,6.000,22.400,22.400,22.400,26.800,27.900,32.900,37.800,37.000,37.300,38.700
,Geothermal,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Belgium,Hydropower,1413.000,1421.000,1421.000,1420.000,1425.000,1412.000,1414.000,1417.000,1418.000,1417.000,1425.000,1426.000,1427.000,1426.000,1428.000,1419.000,1416.100,1414.000,1414.800,1411.100,1412.800,1417.700,1418.700
,Renewable hydropower,103.000,111.000,111.000,110.000,115.000,105.000,107.000,110.000,111.000,110.000,118.000,119.000,120.000,119.000,121.000,112.000,109.100,107.000,107.800,104.100,105.800,110.700,111.700
