Region/country/area, Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,Solar photovoltaic,10.311,13.897,15.673,17.789,18.867,22.119,29.277,38.224,50.590,91.735,173.989,241.532,298.621,615.883,1510.126,1887.258,3001.349,4648.261,7109.772,8403.229,9748.274,10543.328,11414.681
,Concentrated solar power,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,45.000,65.000,65.000,65.000,165.000,325.000,425.000,525.000,985.000,1085.000,1085.000,1085.000,1085.000
,Bioenergy,804.929,814.879,836.879,844.879,853.879,937.129,869.522,884.372,928.996,981.305,1012.940,1095.480,1188.283,1262.313,1362.920,1446.340,1508.455,1587.350,1741.450,1753.055,1767.812,1865.555,1865.555
,Solid biofuels and renewable municipal waste,804.929,814.879,836.879,844.879,853.879,937.129,869.522,880.172,922.292,974.601,1005.236,1085.711,1178.314,1251.094,1351.534,1420.234,1473.494,1549.189,1657.289,1657.394,1672.151,1725.394,1725.394
,Renewable municipal waste,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.000,25.000,25.000,25.000,25.000
,Bagasse,765.675,775.625,797.625,805.625,814.625,898.375,832.360,843.010,882.460,934.235,960.360,1028.335,1118.335,1189.535,1298.535,1367.235,1419.235,1492.835,1575.135,1575.135,1586.135,1631.135,1631.135
,Other solid biofuels,39.000,39.000,39.000,39.000,39.000,39.000,37.000,37.000,40.000,40.000,45.000,57.000,60.000,62.000,53.000,53.000,54.000,56.000,57.000,57.000,61.000,69.000,69.000
,Liquid biofuels,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.150,0.310,0.310,0.310,0.310,41.310,41.310,41.310,41.310,41.310
,Biogas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.200,6.704,6.704,7.704,9.769,9.969,11.069,11.076,25.796,34.651,37.851,42.851,54.351,54.351,98.851,98.851
,Geothermal,65.300,65.300,65.300,65.300,135.300,135.300,135.300,135.300,135.300,170.300,205.300,205.300,212.800,212.800,373.400,626.200,660.200,680.200,691.100,691.100,870.400,870.400,956.400
Algeria,Hydropower,276.600,276.600,276.600,276.600,276.600,276.600,249.600,249.600,230.600,227.600,227.600,227.600,227.600,227.600,227.600,227.600,227.600,228.000,228.000,228.000,208.600,128.900,128.900
,Renewable hydropower,276.600,276.600,276.600,276.600,276.600,276.600,249.600,249.600,230.600,227.600,227.600,227.600,227.600,227.600,227.600,227.600,227.600,228.000,228.000,228.000,208.600,128.900,128.900
